"","Protein","gene_id","description","gene_name","fc","p.value","adj.p.value"
"IFI44","IFI44","ENSG00000137965.10","interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]","IFI44",2.71178197947727,2.63264039047259e-06,0.00243787089171092
"OAS2","OAS2","ENSG00000111335.12","2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]","OAS2",2.37314619414215,5.67772170936277e-06,0.00295728301474535
"MX1","MX1","ENSG00000157601.13","MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]","MX1",2.17303259969216,0.000401703721830918,0.0163844618691239
"IFI44L","IFI44L","ENSG00000137959.15","interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]","IFI44L",2.1625289467419,7.18183734642161e-06,0.00315362457700647
"ISG15","ISG15","ENSG00000187608.8","ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:HGNC:4053]","ISG15",2.07037192404263,6.35683750627577e-05,0.00851600739823792
"IFIT3","IFIT3","ENSG00000119917.13","interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]","IFIT3",1.96648034434883,0.000419286605543064,0.0166534740211677
"IFI16","IFI16","ENSG00000163565.18","interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]","IFI16",1.87611979302302,3.50041179491701e-05,0.00709416790436513
"BST2","BST2","ENSG00000130303.12","bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]","BST2",1.85042695425559,0.000104682765570513,0.0106078535778119
"DDX60","DDX60","ENSG00000137628.16","DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]","DDX60",1.83003854879395,1.46159753023459e-05,0.00488233004833509
"IFIT1","IFIT1","ENSG00000185745.9","interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]","IFIT1",1.80726472209649,0.000540480348518078,0.01879561288619
"SP110","SP110","ENSG00000135899.17","SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]","SP110",1.79345916947272,9.02710013422229e-08,0.00071350199460893
"OAS3","OAS3","ENSG00000111331.12","2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]","OAS3",1.71778876896881,8.45585106649992e-05,0.0098586331643259
"IFIT2","IFIT2","ENSG00000119922.9","interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]","IFIT2",1.68868363880115,0.000246645487601223,0.0139704040793327
"TYMP","TYMP","ENSG00000025708.13","thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]","TYMP",1.610541752717,7.02029503667531e-07,0.00184961373232939
"HLA-B","HLA-B","ENSG00000234745.10","major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]","HLA-B",1.59704598126475,0.000375746998288281,0.0163633545158355
"GBP4","GBP4","ENSG00000162654.8","guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]","GBP4",1.59244701572103,1.60602962116286e-05,0.00488233004833509
"GSDMB","GSDMB","ENSG00000073605.18","gasdermin B [Source:HGNC Symbol;Acc:HGNC:23690]","GSDMB",1.56374300903253,0.00132979582711166,0.0276917539775323
"MX2","MX2","ENSG00000183486.12","MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533]","MX2",1.55296899055368,3.1433000390836e-06,0.00243787089171092
"TAP2","TAP2","ENSG00000206299.8","transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]","TAP2",1.48064136222686,0.000166330520708368,0.0124827195914276
"SAMHD1","SAMHD1","ENSG00000101347.8","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]","SAMHD1",1.4513453635993,1.57626324769309e-05,0.00488233004833509
"LGALS9","LGALS9","ENSG00000168961.16","galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]","LGALS9",1.42111748177202,6.29389200308127e-05,0.00851600739823792
"B2M","B2M","ENSG00000166710.17","beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]","B2M",1.41257709027466,0.0026173194006317,0.0349146825053385
