"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","prot_id","entrez_id"
31.0253530413467,31.5102172394895,0.41389727806059,0.2588032841364,100,30,"P02787","TF","ENSG00000091513","ENSP00000417468",7018
25.817287423626,25.1486058235192,0.808526183106412,0.629564173864043,100,30,"P0C0L5","C4B","ENSG00000228454","ENSP00000364321",721
24.4247129649614,23.8900879479201,0.477193260260857,0.443772165768213,100,30,"P08697","SERPINF2","ENSG00000276838","ENSP00000488707",5345
31.1321595861965,30.4595931668603,0.587687823264024,0.688455935073841,100,30,"P01023","A2M","ENSG00000175899","ENSP00000323929",2
30.4267111202736,29.4106494628629,0.621371349684455,0.802049466450131,100,30,"P04114","APOB","ENSG00000084674","ENSP00000233242",338
26.827627157817,25.0589240471383,0.631005242932737,0.572702474530632,100,30,"P02750","LRG1","ENSG00000171236","ENSP00000302621",116844
28.1655282343474,27.8501028562391,0.325410640198894,0.225860223346937,100,30,"P02774","GC","ENSG00000145321","ENSP00000273951",2638
28.0805561450015,23.77072131467,1.12960766839116,0.846902633490243,100,30,"P69905","HBA1","ENSG00000206172","ENSP00000322421",3039
27.1199738769451,26.9722325678381,0.504601109521797,0.451104901181601,100,30,"P19827","ITIH1","ENSG00000055957","ENSP00000273283",3697
26.4331914309035,26.2086697737369,0.452166177593797,0.217004808917871,100,30,"P00747","PLG","ENSG00000122194","ENSP00000355891",5340
26.4062424558801,25.9508357261764,1.03296724838464,0.71483490745144,100,30,"P02751","FN1","ENSG00000115414","ENSP00000394423",2335
29.1705354439326,28.4151769896886,0.410849340894165,0.371257962395392,100,30,"P00450","CP","ENSG00000047457","ENSP00000418773",1356
31.4290124833807,30.2330391343647,0.53822930003725,0.668243817754598,100,30,"P02671","FGA","ENSG00000171560","ENSP00000498441",2243
25.7553630519487,26.4748109736323,0.488402575855529,0.3110615043809,100,30,"P02765","AHSG","ENSG00000145192","ENSP00000393887",197
29.1199313000261,28.0412625031782,0.496693343728755,0.51314653581884,100,30,"Q14624","ITIH4","ENSG00000055955","ENSP00000266041",3700
31.3794753376693,30.6923584063558,0.565194885356225,0.476234151944875,100,30,"P01024","C3","ENSG00000125730","ENSP00000245907",718
26.9992559411439,25.472553801927,0.638334166301225,0.509504385269754,100,30,"P02748","C9","ENSG00000113600","ENSP00000263408",735
25.0639166441302,24.7883354198834,0.512522733394606,0.373884516643216,100,30,"P10643","C7","ENSG00000112936","ENSP00000322061",730
26.8535445266956,25.7071729486162,0.532337747519638,0.539576815851209,100,30,"P01031","C5","ENSG00000106804","ENSP00000223642",727
26.8456883014867,26.7906077851068,0.593792144979474,0.588339118874583,100,30,"P19823","ITIH2","ENSG00000151655","ENSP00000351190",3698
29.0162718219461,28.7635848034269,0.327036358201038,0.297275106681747,100,30,"P02790","HPX","ENSG00000110169","ENSP00000265983",3263
23.0819880436955,23.2634813542755,1.44293472235545,1.6316987890047,100,30,"P13645","KRT10","ENSG00000186395","ENSP00000269576",3858
26.7280745941991,26.6129064383522,0.362557476020627,0.232101119493668,100,30,"P04217","A1BG","ENSG00000121410","ENSP00000263100",1
27.3766896821503,28.1823272757229,0.878479414535103,0.271450947236372,100,30,"P02766","TTR","ENSG00000118271","ENSP00000477599",7276
22.6470456100216,22.2360243058625,0.629639898424725,0.389608255358789,100,30,"P0CG05","IGLC2","ENSG00000211677","ENSP00000374856",NA
31.6653673390025,30.6478179668898,0.549128285306,0.453515717891164,100,30,"P01009","SERPINA1","ENSG00000277377","ENSP00000486067",5265
24.3583589915628,23.7881042734805,0.454007732667993,0.294367783645837,100,30,"P00736","C1R","ENSG00000288512","ENSP00000500036",715
30.1666724328176,28.2302742358103,0.659695939688818,0.328043179859686,100,30,"P01011","SERPINA3","ENSG00000196136","ENSP00000376795",12
34.8454431241572,34.8363488563663,0.271688206095009,0.18153230257014,100,30,"P02768","ALB","ENSG00000163631","ENSP00000392541",213
26.1915236250818,26.6698360966527,0.572410011678887,0.475632012508141,100,30,"P06396","GSN","ENSG00000148180","ENSP00000362929",2934
19.6284056638772,19.4008534177802,0.801029629216927,0.546438771456258,100,30,"P55058","PLTP","ENSG00000100979","ENSP00000335290",5360
27.6873239323922,27.474235266794,0.400501369741069,0.243262266879832,100,30,"P01008","SERPINC1","ENSG00000117601","ENSP00000356671",462
23.4870987420871,23.7549351994216,0.794738240734351,0.474155495101768,100,30,"O14791","APOL1","ENSG00000100342","ENSP00000411507",8542
23.0692080911702,22.3202761713392,0.572537244283101,0.539572233230178,100,30,"P15169","CPN1","ENSG00000120054","ENSP00000359446",1369
22.6437939415743,22.5780040857593,0.609067713533851,0.293897166267399,100,30,"P49908","SELENOP","ENSG00000250722","ENSP00000420939",6414
30.3755873300499,30.2503879535318,1.00591113378183,0.730715879316475,100,30,"P01857","IGHG1","ENSG00000277633","ENSP00000487867",NA
23.8913122930226,24.3923001416088,0.710689408056824,0.348386808648684,100,30,"P43652","AFM","ENSG00000079557","ENSP00000226355",173
23.4482768920495,22.8441456138577,0.605746368603271,0.418967211667835,100,30,"P23142","FBLN1","ENSG00000077942","ENSP00000415289",2192
25.0586247897104,24.0449968248892,0.47152807311355,0.261186043867159,100,30,"P06681","C2","ENSG00000231543","ENSP00000400097",717
30.5689973634488,28.8199145690061,0.932021655334247,1.05775248092601,100,30,"P00738","HP","ENSG00000257017","ENSP00000348170",3240
19.8525741931291,19.5793419299656,0.934424860612901,0.669860998543504,100,30,"Q96PD5","PGLYRP2","ENSG00000161031","ENSP00000292609",114770
23.6637241634926,23.4338063957023,0.586599903896878,0.450520018539702,100,30,"P05543","SERPINA7","ENSG00000123561","ENSP00000329374",6906
31.4834228253476,30.1846457823532,0.471234338826967,0.847841209637312,100,30,"P02679","FGG","ENSG00000171557","ENSP00000384860",2266
25.534652656891,23.7577887165139,0.790366083557563,0.725711336750298,100,30,"Q06033","ITIH3","ENSG00000162267","ENSP00000413922",3699
21.0643206503483,20.5631163103222,1.47544746195476,0.701507761877032,100,30,"P06318","IGLV6-57","ENSG00000211640","ENSP00000374820",NA
28.155313863371,27.3521775112355,0.577227968237726,0.369089388141852,100,30,"P00751","CFB","ENSG00000242335","ENSP00000391902",629
25.8730245879452,25.5020864715995,0.63026572184357,0.361241509767766,100,30,"P25311","AZGP1","ENSG00000160862","ENSP00000292401",563
27.2037326988044,27.9194271820385,0.953996256931674,0.378032478195589,100,30,"P06727","APOA4","ENSG00000110244","ENSP00000350425",337
26.2944608367657,24.7485324846187,1.5368484024415,1.33500566512221,100,30,"P02652","APOA2","ENSG00000158874","ENSP00000356969",336
21.039614334754,20.196542768572,0.459685000573888,0.320235877825094,100,30,"P00740","F9","ENSG00000101981","ENSP00000218099",2158
27.1259668478077,26.0226321436412,0.577105629483173,0.418947385259128,100,30,"P01019","AGT","ENSG00000135744","ENSP00000506329",183
24.8065280814899,24.0355233967162,1.58796750588896,1.35792171669381,100,30,"P04264","KRT1","ENSG00000167768","ENSP00000252244",3848
19.4100547242248,17.3451645436513,1.50338730622772,0.572523781287047,100,30,"P08571","CD14","ENSG00000170458","ENSP00000385519",929
28.7409850431111,28.2889984836147,0.620785737608252,0.592886285128518,100,30,"P01834","IGKC","ENSG00000211592","ENSP00000374777",NA
24.0925288657603,23.4267390990929,0.507721846416183,0.450458761927311,100,30,"P07358","C8B","ENSG00000021852","ENSP00000360281",732
27.8326857527661,27.1674005580776,0.559559901648831,0.64811445547569,100,30,"P02649","APOE","ENSG00000130203","ENSP00000413135",348
26.4940009843726,26.0137652526792,0.547190491282529,0.479452995038602,100,30,"P05546","SERPIND1","ENSG00000099937","ENSP00000215727",3053
31.3355286954675,29.9745744460084,0.523333018977562,0.890122127836215,100,30,"P02675","FGB","ENSG00000171564","ENSP00000306099",2244
27.8128399013731,27.3463639925963,0.493420387207622,0.274651009538537,100,30,"P10909","CLU","ENSG00000120885","ENSP00000315130",1191
21.4291612972737,22.5002476409266,1.21173477773973,1.2088862002316,100,30,"P00739","HPR","ENSG00000261701","ENSP00000497360",3250
22.9200377690074,22.810900189113,0.978982222350283,0.516092027430909,100,30,"P04430","IGKV1-16","ENSG00000282282","ENSP00000488377",NA
24.1991229470957,21.7334163104736,1.04600739404895,0.542415882730897,100,30,"P18428","LBP","ENSG00000129988","ENSP00000217407",3929
